Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,SuspExplFg,SuspExplFg Target (% of Districts),SuspExplRaceEthnicityFg,SuspExplRaceEthnicityFg Target (% of Districts),DisPrptnRprsntnFg,DisPrptnRprsntnFg Target (% of Districts),DisPrptnRprsntnDsbltyFg,DisPrptnRprsntnDsbltyFg Target (% of Districts),IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2063,Adel SD 21,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2113,Adrian SD 61,39,92.31%,76.00% or more,5.13%,9.00% or less,0.00%,1.70% or less,*,95.00%,>95%,95.00%,*,95.00%,*,26.86%,16.67%,15.52%,*,26.12%,*,95.00%,>95%,95.00%,*,95.00%,*,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,30.95%,27.88%,*,28.54%,*,18.18%,28.57%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1899,Alsea SD 7J,114,88.60%,76.00% or more,7.89%,9.00% or less,0.00%,1.70% or less,14.29%,95.00%,<5%,95.00%,<5%,95.00%,*,26.86%,*,15.52%,*,26.12%,14.29%,95.00%,<5%,95.00%,<5%,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,22.22,80.00%,66.67%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2252,Amity SD 4J,122,63.11%,76.00% or more,7.38%,9.00% or less,0.00%,1.70% or less,33.33%,95.00%,66.67%,95.00%,11.11%,95.00%,*,26.86%,<5%,15.52%,*,26.12%,33.33%,95.00%,66.67%,95.00%,11.11%,95.00%,*,19.71%,<5%,9.18%,*,5.58%,91.67%,100.00%,85.71%,84.45%,75.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,41.79%,27.88%,*,28.54%,*,18.18%,14.93%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,78.57,80.00%,21.43%,12.52%,22.22%,32.00% or more,88.89%,56.00% or more,100.00%,74.00% or more
2111,Annex SD 29,6,83.33%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,83.33%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2005,Arlington SD 3,21,100.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2115,Arock SD 81,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2041,Ashland SD 5,320,79.06%,76.00% or more,8.13%,9.00% or less,0.63%,1.70% or less,85.19%,95.00%,89.29%,95.00%,26.92%,95.00%,47.83%,26.86%,20.00%,15.52%,14.29%,26.12%,85.19%,95.00%,89.29%,95.00%,26.92%,95.00%,47.83%,19.71%,12.00%,9.18%,<5%,5.58%,97.18%,100.00%,85.45%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,21.27%,23.72%,54.24%,27.88%,30.54%,28.54%,13.31%,18.18%,35.18%,19.00%,29.31%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,78.57,80.00%,21.43%,12.52%,20.00%,32.00% or more,70.00%,56.00% or more,80.00%,74.00% or more
2051,Ashwood SD 8,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1933,Astoria SD 1,249,75.90%,76.00% or more,7.23%,9.00% or less,0.80%,1.70% or less,77.78%,95.00%,85.00%,95.00%,27.78%,95.00%,16.67%,26.86%,6.25%,15.52%,*,26.12%,77.78%,95.00%,80.00%,95.00%,22.22%,95.00%,8.33%,19.71%,6.67%,9.18%,*,5.58%,100.00%,100.00%,89.47%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,33.33%,23.72%,30.82%,27.88%,*,28.54%,28.68%,18.18%,14.88%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,93.33,80.00%,0.00%,12.52%,0.00%,32.00% or more,25.00%,56.00% or more,62.50%,74.00% or more
