District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
2063,Adel SD 21,Lake,Lane Stratton,7,*,1,*,*,*,<1,2,<1,<1,0,0,0,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,No Change,,81%,100%,Unavailable,,87%
2113,Adrian SD 61,Malheur,Nick Ketterling,268,14%,3,13%,56%,9%,2,22,8,1,0,0,0,71%,75%,Increase,4%,62%,67%,Increase,2%,40%,33%,Increase,4%,26%,>95%,No Change,,84%,95%,Decrease,5%,81%,100%,Increase,4%,87%
1899,Alsea SD 7J,Benton,Krista Nieraeth,419,<5%,9,19%,26%,42%,6,34,24,<1,0,<1,0,69%,51%,Decrease,7%,62%,17%,Decrease,22%,40%,22%,Unavailable,,26%,62%,Increase,26%,84%,42%,Decrease,5%,81%,60%,Increase,7%,87%
2252,Amity SD 4J,Yamhill,Jeff Clark,729,11%,7,16%,26%,10%,5,53,12,1,0,0,0,76%,60%,Increase,3%,62%,35%,Increase,6%,40%,8%,Decrease,7%,26%,84%,Increase,3%,84%,83%,Increase,1%,81%,89%,Decrease,5%,87%
2111,Annex SD 29,Malheur,Steve Bishop,120,*,2,13%,82%,10%,1,10,7,0,0,0,0,70%,75%,Increase,21%,62%,*,Unavailable,,40%,*,Unavailable,,26%,<5%,Unavailable,,84%,0%,No Change,,81%,0%,Unavailable,,87%
2005,Arlington SD 3,Gilliam,Larry Johnson,135,*,2,16%,>95%,18%,1,15,<1,0,0,0,0,60%,43%,Decrease,3%,62%,25%,Increase,2%,40%,*,Unavailable,,26%,>95%,Increase,>5%,84%,75%,Decrease,2%,81%,92%,Decrease,8%,87%
2115,Arock SD 81,Malheur,Vicki McConnell,16,*,2,*,*,*,0,2,<1,0,0,0,0,100%,63%,Decrease,14%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
2041,Ashland SD 5,Jackson,Samuel Bogdanove,2557,<5%,20,16%,33%,12%,12,156,73,11,1,3,0,81%,69%,Decrease,6%,62%,60%,No Change,,40%,38%,Decrease,11%,26%,93%,Increase,1%,84%,91%,No Change,,81%,93%,Decrease,4%,87%
2051,Ashwood SD 8,Jefferson,Jody Holmes,2,*,1,*,*,*,0,1,0,0,0,0,0,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,100%,Unavailable,,87%
1933,Astoria SD 1,Clatsop,Craig Hoppes,1748,11%,18,16%,33%,11%,8,117,72,10,1,1,0,79%,64%,Increase,1%,62%,49%,Increase,11%,40%,20%,Decrease,1%,26%,89%,Increase,4%,84%,82%,Decrease,1%,81%,85%,Decrease,9%,87%
2208,Athena-Weston SD 29RJ,Umatilla,Ann Vescio,544,*,3,15%,44%,11%,4,44,14,3,0,<1,0,81%,59%,Increase,6%,62%,56%,Increase,28%,40%,26%,Increase,6%,26%,55%,Decrease,35%,84%,89%,Increase,6%,81%,83%,Decrease,10%,87%
1894,Baker SD 5J,Baker,Erin Lair,4640,<5%,13,14%,59%,21%,26,212,50,20,0,2,0,83%,81%,Increase,1%,62%,39%,Decrease,7%,40%,30%,Decrease,7%,26%,75%,Decrease,6%,84%,81%,Increase,3%,81%,83%,Decrease,6%,87%
