Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2063,Adel SD 21,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2113,Adrian SD 61,35,91.43%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1899,Alsea SD 7J,86,87.21%,77.00% or more,9.30%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,94.74%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2252,Amity SD 4J,120,55.83%,77.00% or more,10.00%,8.70% or less,0.83%,1.60% or less,*,95.00%,91.67%,95.00%,16.67%,95.00%,*,26.90%,<5%,15.63%,*,26.83%,*,95.00%,>95%,95.00%,16.67%,95.00%,*,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,85.71%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,42.00%,26.94%,*,28.04%,*,17.18%,9.80%,18.00%,*,18.76%,71.43,81.00%,14.29%,12.17%,*,34% or more,*,58% or more,*,76% or more
2111,Annex SD 29,12,75.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2005,Arlington SD 3,21,95.24%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2115,Arock SD 81,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2041,Ashland SD 5,338,79.88%,77.00% or more,8.88%,8.70% or less,0.59%,1.60% or less,91.67%,95.00%,87.50%,95.00%,62.50%,95.00%,41.86%,26.90%,18.52%,15.63%,40.00%,26.83%,93.75%,95.00%,87.50%,95.00%,58.33%,95.00%,47.73%,19.91%,<5%,9.47%,14.29%,5.85%,100.00%,100.00%,76.92%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,20.57%,23.44%,40.86%,26.94%,<5%,28.04%,14.13%,17.18%,33.93%,18.00%,30.57%,18.76%,84,81.00%,12.00%,12.17%,71.43%,34% or more,100.00%,58% or more,100.00%,76% or more
2051,Ashwood SD 8,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1933,Astoria SD 1,251,74.10%,77.00% or more,9.16%,8.70% or less,0.80%,1.60% or less,75.00%,95.00%,73.08%,95.00%,72.22%,95.00%,<5%,26.90%,<5%,15.63%,18.18%,26.83%,80.00%,95.00%,73.08%,95.00%,72.22%,95.00%,14.29%,19.91%,<5%,9.47%,<5%,5.85%,96.43%,100.00%,89.47%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,41.84%,23.44%,35.85%,26.94%,33.90%,28.04%,18.03%,17.18%,18.18%,18.00%,17.65%,18.76%,61.54,81.00%,30.77%,12.17%,71.43%,34% or more,85.71%,58% or more,100.00%,76% or more
