Institution ID,Institution Name,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg
1894,Baker SD 5J,No ,No ,No ,No 
1895,Huntington SD 16J,No ,No ,No ,No 
1896,Burnt River SD 30J,No ,No ,No ,No 
1897,Pine Eagle SD 61,No ,No ,No ,No 
1898,Monroe SD 1J,No ,No ,No ,No 
1899,Alsea SD 7J,No ,No ,No ,No 
1900,Philomath SD 17J,No ,No ,No ,No 
1901,Corvallis SD 509J,No ,No ,No ,No 
1922,West Linn-Wilsonville SD 3J,No ,No ,No ,No 
1923,Lake Oswego SD 7J,No ,No ,No ,No 
1924,North Clackamas SD 12,No ,No ,No ,No 
1925,Molalla River SD 35,No ,No ,No ,No 
1926,Oregon Trail SD 46,No ,No ,No ,No 
1927,Colton SD 53,No ,No ,No ,No 
1928,Oregon City SD 62,Yes,No ,No ,No 
1929,Canby SD 86,No ,No ,No ,No 
1930,Estacada SD 108,No ,No ,No ,No 
1931,Gladstone SD 115,No ,No ,No ,No 
1933,Astoria SD 1,No ,No ,No ,No 
1934,Jewell SD 8,No ,No ,No ,No 
1935,Seaside SD 10,No ,No ,No ,No 
1936,Warrenton-Hammond SD 30,Yes,No ,No ,No 
1944,Scappoose SD 1J,No ,No ,No ,No 
1945,Clatskanie SD 6J,No ,No ,No ,No 
1946,Rainier SD 13,No ,No ,No ,No 
1947,Vernonia SD 47J,No ,No ,No ,No 
1948,St Helens SD 502,No ,No ,No ,No 
1964,Coquille SD 8,No ,No ,No ,No 
1965,Coos Bay SD 9,No ,No ,No ,No 
1966,North Bend SD 13,No ,No ,No ,No 
1967,Powers SD 31,No ,No ,No ,No 
1968,Myrtle Point SD 41,No ,No ,No ,No 
1969,Bandon SD 54,No ,No ,No ,No 
1970,Crook County SD,No ,No ,No ,No 
1972,Central Curry SD 1,No ,No ,No ,No 
1973,Port Orford-Langlois SD 2CJ,No ,No ,No ,No 
1974,Brookings-Harbor SD 17C,No ,No ,No ,No 
1976,Bend-LaPine Administrative SD 1,No ,No ,No ,No 
1977,Redmond SD 2J,No ,No ,No ,No 
1978,Sisters SD 6,No ,No ,No ,No 
1990,Oakland SD 1,No ,No ,No ,No 
1991,Douglas County SD 4,No ,No ,No ,No 
1992,Glide SD 12,No ,No ,No ,No 
1993,Douglas County SD 15,No ,No ,No ,No 
1994,South Umpqua SD 19,No ,No ,No ,No 
1995,Camas Valley SD 21J,No ,No ,No ,No 
1996,North Douglas SD 22,No ,No ,No ,No 
1997,Yoncalla SD 32,No ,No ,No ,No 
1998,Elkton SD 34,No ,No ,No ,No 
1999,Riddle SD 70,No ,No ,No ,No 
2000,Glendale SD 77,No ,No ,No ,No 
2001,Reedsport SD 105,No ,No ,No ,No 
2002,Winston-Dillard SD 116,No ,No ,No ,No 
2003,Sutherlin SD 130,No ,No ,No ,No 
2005,Arlington SD 3,No ,No ,No ,No 
2006,Condon SD 25J,No ,No ,No ,No 
2008,John Day SD 3,No ,No ,No ,No 
2009,Prairie City SD 4,No ,No ,No ,No 
2010,Monument SD 8,No ,No ,No ,No 
2011,Dayville SD 16J,No ,No ,No ,No 
2012,Long Creek SD 17,No ,No ,No ,No 
2014,Harney County SD 3,No ,No ,No ,No 
2015,Harney County SD 4,No ,No ,No ,No 
2016,Pine Creek SD 5,No ,No ,No ,No 
2017,Diamond SD 7,No ,No ,No ,No 
2018,Suntex SD 10,No ,No ,No ,No 
2019,Drewsey SD 13,No ,No ,No ,No 
2020,Frenchglen SD 16,No ,No ,No ,No 
2021,Double O SD 28,No ,No ,No ,No 
2022,South Harney SD 33,No ,No ,No ,No 
2023,Harney County Union High SD 1J,No ,No ,No ,No 
2024,Hood River County SD,No ,No ,No ,No 
2039,Phoenix-Talent SD 4,No ,No ,No ,No 
2041,Ashland SD 5,No ,No ,No ,No 
2042,Central Point SD 6,No ,No ,No ,No 
2043,Eagle Point SD 9,No ,No ,No ,No 
2044,Rogue River SD 35,No ,No ,No ,No 
2045,Prospect SD 59,No ,No ,No ,No 
2046,Butte Falls SD 91,No ,No ,No ,No 
2047,Pinehurst SD 94,No ,No ,No ,No 
2048,Medford SD 549C,No ,No ,No ,No 
2050,Culver SD 4,No ,No ,No ,No 
2051,Ashwood SD 8,No ,No ,No ,No 
2052,Black Butte SD 41,No ,No ,No ,No 
2053,Jefferson County SD 509J,No ,No ,No ,No 
2054,Grants Pass SD 7,Yes,No ,No ,No 
2055,Three Rivers/Josephine County SD,No ,No ,No ,No 
2056,Klamath Falls City Schools,No ,No ,No ,No 
2057,Klamath County SD,Yes,No ,No ,No 
2059,Lake County SD 7,No ,No ,No ,No 
2060,Paisley SD 11,No ,No ,No ,No 
2061,North Lake SD 14,No ,No ,No ,No 
2062,Plush SD 18,No ,No ,No ,No 
2063,Adel SD 21,No ,No ,No ,No 
2081,Pleasant Hill SD 1,No ,No ,No ,No 
2082,Eugene SD 4J,Yes,No ,No ,No 
2083,Springfield SD 19,No ,No ,No ,No 
2084,Fern Ridge SD 28J,No ,No ,No ,No 
2085,Mapleton SD 32,No ,No ,No ,No 
2086,Creswell SD 40,No ,No ,No ,No 
2087,South Lane SD 45J3,No ,No ,No ,No 
2088,Bethel SD 52,No ,No ,No ,No 
2089,Crow-Applegate-Lorane SD 66,No ,No ,No ,No 
2090,McKenzie SD 68,No ,No ,No ,No 
2091,Junction City SD 69,No ,No ,No ,No 
2092,Lowell SD 71,No ,No ,No ,No 
2093,Oakridge SD 76,No ,No ,No ,No 
2094,Marcola SD 79J,No ,No ,No ,No 
2095,Blachly SD 90,No ,No ,No ,No 
2096,Siuslaw SD 97J,No ,No ,No ,No 
2097,Lincoln County SD,No ,No ,No ,No 
2099,Harrisburg SD 7J,No ,No ,No ,No 
2100,Greater Albany Public SD 8J,No ,No ,No ,No 
2101,Lebanon Community SD 9,Yes,No ,No ,No 
2102,Sweet Home SD 55,No ,No ,No ,No 
2103,Scio SD 95,No ,No ,No ,No 
2104,Santiam Canyon SD 129J,No ,No ,No ,No 
2105,Central Linn SD 552,No ,No ,No ,No 
2107,Jordan Valley SD 3,No ,No ,No ,No 
2108,Ontario SD 8C,No ,No ,No ,No 
2109,Juntura SD 12,No ,No ,No ,No 
2110,Nyssa SD 26,No ,No ,No ,No 
2111,Annex SD 29,No ,No ,No ,No 
2113,Adrian SD 61,No ,No ,No ,No 
2114,Harper SD 66,No ,No ,No ,No 
2115,Arock SD 81,No ,No ,No ,No 
2116,Vale SD 84,No ,No ,No ,No 
2137,Gervais SD 1,No ,No ,No ,No 
2138,Silver Falls SD 4J,No ,No ,No ,No 
2139,Cascade SD 5,No ,No ,No ,No 
2140,Jefferson SD 14J,No ,No ,No ,No 
2141,North Marion SD 15,No ,No ,No ,No 
2142,Salem-Keizer SD 24J,No ,No ,No ,No 
2143,North Santiam SD 29J,Yes,No ,No ,No 
2144,St Paul SD 45,No ,No ,No ,No 
2145,Mt Angel SD 91,No ,No ,No ,No 
2146,Woodburn SD 103,No ,No ,No ,No 
2147,Morrow SD 1,No ,No ,No ,No 
2180,Portland SD 1J,Yes,No ,No ,No 
2181,Parkrose SD 3,No ,No ,No ,No 
2182,Reynolds SD 7,No ,No ,No ,No 
2183,Gresham-Barlow SD 10J,Yes,No ,No ,No 
2185,Centennial SD 28J,No ,No ,No ,No 
2186,Corbett SD 39,No ,No ,No ,No 
2187,David Douglas SD 40,Yes,No ,No ,No 
