District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,K-2 Regular Attenders,Oregon K-2 Regular Attenders Average,Grade 3 ELA,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Oregon Grade 8 Math Average,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation 2020-21,Oregon On-Time Graduation 2020-21 Average
2063,Adel SD 21,Lake,Jack Thompson,5,*,1,*,*,*,<1,1,1,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,100%,81%
2113,Adrian SD 61,Malheur,Nick Ketterling,256,15%,2,15%,>95%,6%,2,20,9,1,0,0,86%,72%,65%,65%,40%,29%,27%,>95%,83%,100%,81%
1899,Alsea SD 7J,Benton,Sean Gallagher,929,<5%,8,16%,39%,63%,5,34,36,0,0,0,62%,61%,65%,39%,40%,*,27%,36%,83%,47%,81%
2252,Amity SD 4J,Yamhill,Jeff Clark,771,10%,4,15%,31%,14%,6,52,13,1,<1,0,82%,56%,65%,29%,40%,15%,27%,81%,83%,82%,81%
2111,Annex SD 29,Malheur,Steve Bishop,110,*,2,13%,>95%,17%,1,8,7,0,0,0,100%,45%,65%,*,40%,<5%,27%,*,83%,0%,81%
2005,Arlington SD 3,Gilliam,Larry Johnson,154,*,2,8%,>95%,10%,1,15,0,0,0,0,47%,57%,65%,23%,40%,25%,27%,90%,83%,77%,81%
2115,Arock SD 81,Malheur,Vicki McConnell,13,*,2,*,*,*,0,2,3,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,*,81%
2041,Ashland SD 5,Jackson,Samuel Bogdanove,2463,<5%,17,14%,>95%,14%,13,171,78,13,2,1,70%,74%,65%,60%,40%,49%,27%,92%,83%,91%,81%
2051,Ashwood SD 8,Jefferson,Melanie Friend,9,*,1,*,*,*,0,1,0,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,100%,81%
1933,Astoria SD 1,Clatsop,Craig Hoppes,1755,11%,22,16%,38%,13%,8,116,68,9,0,1,79%,58%,65%,38%,40%,21%,27%,85%,83%,83%,81%
2208,Athena-Weston SD 29RJ,Umatilla,Ann Vescio,555,*,4,16%,25%,14%,4,42,12,2,0,0,82%,60%,65%,28%,40%,20%,27%,90%,83%,83%,81%
1894,Baker SD 5J,Baker,Erin Lair,4574,<5%,13,9%,37%,22%,21,213,49,21,0,1,82%,74%,65%,46%,40%,37%,27%,81%,83%,78%,81%
1969,Bandon SD 54,Coos,Shauna Schmerer,619,*,3,14%,>95%,18%,4,36,26,0,0,0,92%,66%,65%,41%,40%,18%,27%,75%,83%,82%,81%
2240,Banks SD 13,Washington,Brian Sica,1019,5%,9,14%,26%,11%,6,59,15,2,0,<1,83%,50%,65%,37%,40%,20%,27%,93%,83%,92%,81%
2243,Beaverton SD 48J,Washington,Gustavo Balderas,38975,27%,97,12%,39%,15%,117,2139,445,185,3,42,88%,75%,65%,54%,40%,39%,27%,89%,83%,88%,81%
1976,Bend-LaPine Administrative SD 1,Deschutes,Steven Cook,17151,8%,30,11%,>95%,15%,69,916,219,63,6,15,87%,60%,65%,53%,40%,36%,27%,91%,83%,82%,81%
2088,Bethel SD 52,Lane,Kraig Sproles,5164,13%,18,19%,85%,15%,23,309,157,17,0,2,73%,72%,65%,29%,40%,15%,27%,78%,83%,84%,81%
2095,Blachly SD 90,Lane,Adam Watkins,340,*,2,11%,26%,21%,2,17,5,1,0,0,56%,67%,65%,29%,40%,<5%,27%,75%,83%,80%,81%
2052,Black Butte SD 41,Jefferson,Kirstin Anglea,21,*,1,*,*,*,<1,4,0,0,0,0,75%,*,65%,*,40%,*,27%,*,83%,50%,81%
1974,Brookings-Harbor SD 17C,Curry,David Marshall,1361,5%,8,17%,>95%,18%,8,79,26,4,0,0,71%,51%,65%,34%,40%,8%,27%,63%,83%,78%,81%
1896,Burnt River SD 30J,Baker,Louise Lyon,30,*,1,*,50%,46%,<1,4,0,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,71%,81%
2046,Butte Falls SD 91,Jackson,Phil Long,188,*,1,23%,>95%,27%,<1,17,8,0,0,0,81%,61%,65%,*,40%,*,27%,75%,83%,64%,81%
1995,Camas Valley SD 21J,Douglas,Don Wonsley,218,*,2,19%,47%,11%,2,21,6,0,0,0,72%,39%,65%,27%,40%,32%,27%,89%,83%,79%,81%
1929,Canby SD 86,Clackamas,Aaron Downs,4110,25%,23,14%,32%,13%,15,251,81,10,1,4,82%,68%,65%,39%,40%,27%,27%,88%,83%,80%,81%
2139,Cascade SD 5,Marion,Darin Drill,2537,9%,12,16%,34%,14%,15,137,57,8,1,0,75%,69%,65%,50%,40%,16%,27%,90%,83%,84%,81%
2185,Centennial SD 28J,Multnomah,James Owens,5472,41%,62,14%,59%,17%,21,280,78,11,<1,5,83%,54%,65%,28%,40%,24%,27%,73%,83%,74%,81%
1972,Central Curry SD 1,Curry,Eric Milburn,423,*,2,10%,>95%,19%,3,29,11,2,0,0,75%,47%,65%,46%,40%,19%,27%,82%,83%,77%,81%
2105,Central Linn SD 552,Linn,Candace Pelt,540,6%,3,16%,94%,17%,4,38,4,1,0,<1,70%,51%,65%,29%,40%,11%,27%,80%,83%,83%,81%
2042,Central Point SD 6,Jackson,Walt Davenport,4624,8%,15,15%,72%,15%,17,189,126,2,0,3,84%,70%,65%,27%,40%,19%,27%,71%,83%,78%,81%
2191,Central SD 13J,Polk,Jennifer Kubista,3154,29%,13,12%,48%,16%,15,167,75,6,0,0,73%,57%,65%,24%,40%,16%,27%,75%,83%,85%,81%
1945,Clatskanie SD 6J,Columbia,Cathy Hurowitz,675,<5%,5,20%,>95%,17%,3,40,25,0,0,1,71%,66%,65%,43%,40%,14%,27%,74%,83%,67%,81%
1927,Colton SD 53,Clackamas,Dave Kline,458,*,9,16%,28%,14%,4,36,11,0,0,0,73%,51%,65%,41%,40%,19%,27%,74%,83%,98%,81%
2006,Condon SD 25J,Gilliam,Brian Schimel,129,*,2,9%,>95%,8%,2,11,4,0,0,0,69%,70%,65%,10%,40%,40%,27%,93%,83%,92%,81%
1965,Coos Bay SD 9,Coos,Charis McGaughy,3015,<5%,16,16%,>95%,21%,12,164,56,6,1,4,76%,42%,65%,27%,40%,16%,27%,89%,83%,66%,81%
1964,Coquille SD 8,Coos,Wayne Gallagher,1287,<5%,3,15%,>95%,26%,9,67,38,3,0,0,68%,50%,65%,26%,40%,17%,27%,50%,83%,52%,81%
2186,Corbett SD 39,Multnomah,Derek Fialkiewicz,1029,5%,16,17%,>95%,8%,6,56,16,2,0,0,77%,58%,65%,45%,40%,26%,27%,>95%,83%,91%,81%
1901,Corvallis SD 509J,Benton,Ryan Noss,6337,14%,57,12%,32%,12%,26,354,165,19,1,3,75%,72%,65%,43%,40%,39%,27%,90%,83%,88%,81%
2216,Cove SD 15,Union,Earl Pettit,313,*,3,13%,14%,6%,2,19,6,0,0,0,80%,63%,65%,25%,40%,63%,27%,>95%,83%,86%,81%
2086,Creswell SD 40,Lane,Michael Johnson,1114,6%,5,17%,44%,14%,7,64,26,3,0,0,73%,70%,65%,35%,40%,29%,27%,94%,83%,83%,81%
1970,Crook County SD,Crook,Sara Johnson,3128,8%,18,15%,95%,17%,17,181,58,6,0,<1,76%,56%,65%,41%,40%,27%,27%,93%,83%,89%,81%
2089,Crow-Applegate-Lorane SD 66,Lane,Heidi Brown,250,*,2,13%,38%,20%,2,18,6,0,0,0,95%,41%,65%,29%,40%,43%,27%,*,83%,77%,81%
2050,Culver SD 4,Jefferson,Stefanie Garber,658,19%,2,16%,69%,15%,4,45,15,3,0,<1,64%,59%,65%,41%,40%,<5%,27%,93%,83%,92%,81%
2190,Dallas SD 2,Polk,Steve Spencer,3021,<5%,8,16%,26%,20%,13,185,109,5,2,2,76%,48%,65%,30%,40%,15%,27%,74%,83%,81%,81%
2187,David Douglas SD 40,Multnomah,Ken Richardson,8612,43%,64,13%,>95%,18%,30,502,188,26,0,4,83%,66%,65%,31%,40%,33%,27%,76%,83%,72%,81%
2253,Dayton SD 8,Yamhill,Steven Sugg,887,27%,5,13%,>95%,13%,5,54,19,3,0,0,72%,46%,65%,9%,40%,12%,27%,89%,83%,79%,81%
2011,Dayville SD 16J,Grant,Davida Irving,54,*,1,*,>95%,27%,1,6,1,0,0,0,75%,83%,65%,*,40%,*,27%,*,83%,100%,81%
2017,Diamond SD 7,Harney,Shannon Criss,11,*,1,*,*,*,0,1,1,0,0,0,0%,*,65%,*,40%,*,27%,*,83%,*,81%
2021,Double O SD 28,Harney,Karla Neuschwander,,*,*,*,*,*,0,1,0,0,0,0,100%,*,,*,40%,*,27%,*,83%,*,81%
