Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2063,Adel SD 21,7,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2113,Adrian SD 61,30,83.33%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1899,Alsea SD 7J,42,92.86%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2252,Amity SD 4J,117,60.68%,77.00% or more,5.13%,8.40% or less,0.00%,1.60% or less,83.33%,95.00%,*,95.00%,10.00%,95.00%,<5%,26.93%,*,15.73%,*,27.53%,75.00%,95.00%,*,95.00%,10.00%,95.00%,*,20.10%,*,9.75%,*,6.12%,88.89%,100.00%,81.82%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,36.00%,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2111,Annex SD 29,13,84.62%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2005,Arlington SD 3,20,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2115,Arock SD 81,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2041,Ashland SD 5,376,80.05%,77.00% or more,11.44%,8.40% or less,0.53%,1.60% or less,90.00%,95.00%,90.00%,95.00%,94.44%,95.00%,42.86%,26.93%,32.00%,15.73%,23.53%,27.53%,90.00%,95.00%,90.00%,95.00%,94.44%,95.00%,40.00%,20.10%,20.00%,9.75%,23.53%,6.12%,98.46%,100.00%,76.92%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.19%,23.11%,31.73%,26.00%,28.14%,27.55%,16.63%,16.18%,24.06%,17.00%,21.92%,17.76%,75.00,82.00%,25.00%,11.82%,40.00%,34% or more,80.00%,58% or more,86.67%,76% or more
2051,Ashwood SD 8,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1933,Astoria SD 1,274,71.90%,77.00% or more,8.39%,8.40% or less,0.73%,1.60% or less,70.83%,95.00%,68.00%,95.00%,64.00%,95.00%,17.65%,26.93%,23.53%,15.73%,6.67%,27.53%,70.83%,95.00%,68.00%,95.00%,52.00%,95.00%,11.76%,20.10%,29.41%,9.75%,<5%,6.12%,100.00%,100.00%,89.47%,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.39%,23.11%,18.41%,26.00%,34.84%,27.55%,21.88%,16.18%,<5%,17.00%,12.22%,17.76%,73.68,82.00%,10.53%,11.82%,10.00%,34% or more,50.00%,58% or more,70.00%,76% or more
